Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Commission,Swap,Pips,Profit,Gain,Magic Number,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(EUR),Min(pips),Min(EUR),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(EUR)
9/21/20 11:38,9/21/20 13:30,EURAUD,Sell,0.13,1.62367,1.61716,1.62114,1.62199,-0.56,0,-8.5,-7.37,-0.14,410151,00:01:52:02,47.4,53m,29.7,0.76,16.9,13.52,-12.8,-10.24,56.9,14.5,-25.4,-20.32
9/21/20 11:38,9/21/20 13:15,EURAUD,Sell,0.02,1.62367,1.61716,1.62114,1.62203,-0.09,0,-8.9,-1.19,-0.02,410151,00:01:37:01,54.7,53m,28.2,0.67,16.9,2.028,-11.3,-1.356,59.9,8.5,-25.8,-3.1
9/21/20 10:33,9/21/20 11:30,USDCHF,Buy,0.18,0.90903,0.91228,0.91024,0.91202,-0.77,0,17.8,28.98,0.56,410151,00:00:56:55,96.5,54m,7.2,0.01,18.4,30.728,-0.1,-0.167,99.5,96.8,-0.6,-1
9/17/20 4:55,9/17/20 9:11,EURAUD,Buy,0.14,1.61558,1.61918,1.61876,1.6192,-0.6,0,4.4,3.2,0.06,400151,00:04:16:23,8.6,22m,24.3,5.17,4.7,4.042,-24.3,-20.898,16.2,99,-0.3,-0.26
9/17/20 4:55,9/17/20 8:00,EURAUD,Buy,0.02,1.61558,1.61958,1.61876,1.61883,-0.09,0,0.7,0,0,400151,00:03:04:44,10.3,19m,24.3,5.17,4.7,0.611,-24.3,-3.159,16.2,86.2,-4,-0.52
9/17/20 4:51,9/17/20 5:30,EURAUD,Buy,0.16,1.61429,1.62441,1.6182,1.6168,-0.69,0,-14,-14.54,-0.28,410151,00:00:38:24,5.2,1m,22.3,5.19,3.6,3.564,-18.7,-18.513,16.1,21.1,-17.6,-17.42
9/17/20 4:51,9/17/20 5:30,AUDCHF,Sell,0.25,0.66542,0.66011,0.66357,0.66412,-1.08,0,-5.5,-13.88,-0.27,410151,00:00:38:27,28.3,10m,10.2,1.68,3.8,8.854,-6.4,-14.912,37.3,8.8,-9.3,-21.67
9/10/20 10:02,9/10/20 11:30,EURUSD,Sell,0.16,1.18339,1.18021,1.18224,1.18339,-0.69,0,-11.5,-16.24,-0.31,410151,00:01:28:00,26.2,23m,17.2,2.07,5.6,7.56,-11.6,-15.66,32.6,0.6,-17.1,-23.09
9/8/20 11:34,9/8/20 12:20,AUDUSD,Sell,0.25,0.73013,0.72612,0.72812,0.72612,-1.08,0,20,41.26,0.8,420601,00:00:45:49,100,45m,1.8,0.05,20,42.4,0,0,100,100,0,0
9/8/20 10:42,9/8/20 11:15,EURAUD,Buy,0.16,1.61863,1.62446,1.621,1.62054,-0.69,0,-4.6,-5.23,-0.1,410151,00:00:32:33,0,0s,12.7,12.71,0,0,-12.7,-12.573,0,63.8,-4.6,-4.55
8/27/20 16:39,8/28/20 6:17,EURCAD,Sell,0.06,1.55247,1.54655,1.55267,1.55247,-0.27,0,2,0.5,0.01,410151,00:13:37:55,100,13h 37m,50.7,0.02,51.1,19.929,0,0,100,3.9,-49.1,-19.15
8/27/20 16:39,8/28/20 6:15,EURCAD,Sell,0.01,1.55247,1.54655,1.55267,1.5523,-0.04,0,3.7,0.2,0,410151,00:13:35:32,100,13h 35m,50.7,0.02,51.1,3.066,0,0,100,7.2,-47.4,-2.84
8/27/20 16:46,8/28/20 5:00,XAUUSD,Sell,0.01,1939.55,1882.33,1939.75,1936.25,-0.04,0.01,350,2.92,0.06,400301,00:12:13:57,98.8,12h 5m,3399,0.19,2862,28.62,-537,-5.37,84.2,26.1,-2512,-25.12
8/27/20 16:46,8/28/20 5:00,XAUUSD,Sell,0.01,1936.97,1901.72,1937.17,1936.16,-0.04,0.01,101,0.82,0.02,410151,00:12:13:51,98.6,12h 3m,3399,0.31,2604,26.04,-795,-7.95,76.6,26.4,-2503,-25.03
8/27/20 16:39,8/28/20 4:45,EURCAD,Sell,0.01,1.55247,1.54655,1.55267,1.55148,-0.04,0,11.9,0.73,0.01,410151,00:12:05:29,100,12h 5m,46.7,0.02,51.1,3.066,0,0,100,23.3,-39.2,-2.35
8/27/20 16:46,8/28/20 3:30,XAUUSD,Sell,0.01,1936.97,1901.72,1937.17,1927.75,-0.05,0.01,942,7.93,0.15,410151,00:10:43:51,98.3,10h 32m,3399,0.31,2604,26.04,-795,-7.95,76.6,51.1,-1662,-16.62
8/27/20 16:39,8/28/20 3:15,EURCAD,Sell,0.01,1.55247,1.54655,1.55267,1.55104,-0.04,0,16.3,1.01,0.02,410151,00:10:35:36,100,10h 35m,48,0.02,51.5,3.09,0,0,100,31.7,-35.2,-2.11
